Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Status,Collection
dig-deeper-journal,"Dig Deeper Journal","<p dir=""ltr""><strong>Ask yourself better questions.</strong></p><p dir=""ltr""><span>The Dig Deeper Journal is an undated journal with 180 prompts designed to help you get to know yourself on an even deeper level.</span></p>",mysite,Journal,,TRUE,Title,"Default Title",,,,,850037903054,0,shopify,1000,continue,manual,34.95,34.95,TRUE,TRUE,850037903054,https://cdn.shopify.com/s/files/1/0271/8190/7991/products/image_775c1ac6-3828-4374-b21d-4237dbc1cb5c.jpg,1,,FALSE,"Dig Deeper Journal","Dig Deeper Journal",,,,,,,,,,,,,,,Kg,,,active,
dig-deeper-journal,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0271/8190/7991/files/3_4e82665b-20cf-48bd-8f35-209e2236ea4c.png,2,,,,,,,,,,,,,,,,,,,,,,,
dig-deeper-journal,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0271/8190/7991/products/image_a99bf33a-b7af-4a84-bfd3-e38d2509f20a.jpg,3,,,,,,,,,,,,,,,,,,,,,,,
dig-deeper-journal,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0271/8190/7991/files/5_88a45237-1aff-4764-8818-c59a54fdfbb0.png,4,,,,,,,,,,,,,,,,,,,,,,,
dig-deeper-journal,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0271/8190/7991/products/image_2d9ac40a-fb36-473b-a46e-c0a1b9cec46f.jpg,5,,,,,,,,,,,,,,,,,,,,,,,
dig-deeper-journal,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0271/8190/7991/products/image_6d9d2af9-c889-4317-9aeb-d34abe4becd1.jpg,6,,,,,,,,,,,,,,,,,,,,,,,
dig-deeper-journal,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0271/8190/7991/files/IMG_8603_0ca950ad-966c-4538-902d-5972f7bba71b.jpg,7,,,,,,,,,,,,,,,,,,,,,,,
dig-deeper-journal,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0271/8190/7991/products/image_233a62f2-1e75-4c25-8b74-24b75c90eed9.jpg,8,,,,,,,,,,,,,,,,,,,,,,,
